0 0
0 0
0 0
0 0
620 1
191 1
227 1
202 1
191 1
0 0
0 0
0 0
0 0
0 0
839 1
81 1
224 1
219 1
167 1
148 1
81 1
0 0
0 0
0 0
0 0
515 1
84 1
222 1
108 1
101 1
84 1
0 0
0 0
0 0
0 0
0 0
0 0
1028 1
59 1
219 1
215 1
203 1
200 1
132 1
59 1
0 0
0 0
0 0
0 0
0 0
0 0
1047 1
14 1
246 1
238 1
219 1
193 1
137 1
14 1
0 0
0 0
0 0
0 0
0 0
0 0
516 1
11 1
158 1
131 1
114 1
62 1
40 1
11 1
0 0
0 0
0 0
422 1
125 1
156 1
141 1
125 1
0 0
0 0
0 0
0 0
297 1
19 1
139 1
71 1
68 1
19 1
0 0
0 0
0 0
0 0
0 0
0 0
583 1
13 1
209 1
150 1
99 1
70 1
42 1
13 1
0 0
0 0
0 0
0 0
0 0
0 0
1515 1
250 1
255 1
254 1
253 1
252 1
251 1
250 1
