0 0
0 0
0 0
0 0
48 1
398 1
235 1
115 1
48 1
0 0
0 0
0 0
0 0
30 1
300 1
104 1
95 1
71 1
30 1
0 0
0 0
0 0
75 1
417 1
190 1
152 1
75 1
0 0
0 0
0 0
0 0
7 1
332 1
203 1
86 1
36 1
7 1
0 0
0 0
0 0
0 0
77 1
605 1
237 1
186 1
105 1
77 1
0 0
0 0
0 0
0 0
0 0
19 1
678 1
250 1
239 1
127 1
43 1
19 1
0 0
0 0
0 0
0 0
0 0
0 0
24 1
695 1
238 1
217 1
102 1
72 1
42 1
24 1
0 0
0 0
0 0
0 0
0 0
45 1
538 1
219 1
155 1
74 1
45 1
45 1
0 0
0 0
0 0
0 0
49 1
467 1
209 1
141 1
68 1
49 1
0 0
0 0
0 0
0 0
0 0
0 0
250 1
1515 1
255 1
254 1
253 1
252 1
251 1
250 1
